,,,,,,,,,,,,,
Customer ID,SC No,Order No,Received Dt,Delivery Dt,Currency,Price,Unit,Order Qty,Shipped Qty,BAL QTY,FGN Value,Ex Rate,INRValue
AARSAN AME,RE/2324/0063,TBC,18-09-2023,20-11-2023,USD,4.25,PCS,18000,14400,3600,15300.00,82.00,1254600.00
AARSAN AME,RE/2324/0065,TBC,18-09-2023,20-11-2023,USD,3.45,PCS,21600,,21600,74520.00,82.00,6110640.00
AARSAN AME,RE/2324/0066,TBC,18-09-2023,20-11-2023,USD,3.15,PCS,21600,20556,1044,3288.60,82.00,269665.20
AARSAN AME,RE/2324/0067,TBC,18-09-2023,20-11-2023,USD,4.25,PCS,800,775,25,106.25,82.00,8712.50
AARSAN AME,RE/2324/0068,TBC,18-09-2023,20-11-2023,USD,3.45,PCS,750,,750,2587.50,82.00,212175.00
AARSAN AME,RE/2324/0119,TBC,25-10-2023,08-01-2024,USD,2.85,PCS,800,,800,2280.00,82.00,186960.00
AARSAN AME,RE/2324/0120,TBC,25-10-2023,08-01-2024,USD,4.15,PCS,800,,800,3320.00,82.00,272240.00
AARSAN AME,RE/2324/0121,TBC,25-10-2023,08-01-2024,USD,4.75,PCS,800,,800,3800.00,82.00,311600.00
AARSAN AME,RE/2324/0122,TBC,25-10-2023,08-01-2024,USD,3.15,PCS,800,,800,2520.00,82.00,206640.00
AARSAN AME,RE/2324/0123,TBC,25-10-2023,08-01-2024,USD,4.95,PCS,1000,,1000,4950.00,82.00,405900.00
AARSAN AME,RE/2324/0127,J24502960,10-11-2023,08-01-2024,USD,5.75,PCS,800,,800,4600.00,82.00,377200.00
AARSAN AME,RE/2324/0145,TBC,20-12-2023,17-02-2024,EUR,4.30,PCS,23040,,23040,99072.00,73.77,7308541.44
AARSAN AME,RE/2324/0149,TBC,21-12-2023,17-02-2024,EUR,6.80,PCS,2340,,2340,15912.00,73.77,1173828.24
AARSAN AME,RE/2324/0150,TBC,21-12-2023,15-02-2024,EUR,9.20,PCS,4944,,4944,45484.80,73.77,3355413.70
ASMARA,RE/2324/0043,TBC,17-08-2023,15-12-2023,USD,3.80,PCS,5200,,5200,19760.00,82.00,1620320.00
ASMARA,RE/2324/0044,TBC,17-08-2023,15-12-2023,USD,3.40,PCS,7500,,7500,25500.00,82.00,2091000.00
ASMARA,RE/2324/0054,1660/1663,25-08-2023,30-12-2023,EUR,5.60,PCS,4550,,4550,25480.00,88.00,2242240.00
ASMARA,RE/2324/0056,16655/16659,26-08-2023,30-11-2023,EUR,5.75,PCS,350,,350,2012.50,88.00,177100.00
ASMARA,RE/2324/0057,16654/16658,26-08-2023,30-11-2023,EUR,5.75,PCS,1987,,1987,11425.25,88.00,1005422.00
ASMARA,RE/2324/0059,TBC,01-09-2023,30-11-2023,EUR,5.60,PCS,2100,,2100,11760.00,88.00,1034880.00
ASMARA,RE/2324/0061,SPL-039855,08-09-2023,02-11-2023,USD,2.50,PCS,25598,24422,1176,2940.00,83.00,244020.00
ASMARA,RE/2324/0069,SPL-039928,21-09-2023,27-10-2023,USD,5.50,PCS,201,197,4,22.00,82.00,1804.00
ASMARA,RE/2324/0070,SPL-039929,21-09-2023,27-10-2023,USD,5.70,PCS,157,152,5,28.50,82.00,2337.00
ASMARA,RE/2324/0071,SPL-039929,21-09-2023,27-10-2023,USD,4.80,PCS,148,146,2,9.60,82.00,787.20
ASMARA,RE/2324/0072,SPL-039928,21-09-2023,21-09-2023,USD,5.50,PCS,148,136,12,66.00,82.00,5412.00
ASMARA,RE/2324/0076,SOL-039928,25-09-2023,27-10-2023,USD,5.70,PCS,221,217,4,22.80,82.00,1869.60
ASMARA,RE/2324/0078,SPL-039927,25-09-2023,27-10-2023,USD,6.50,PCS,178,177,1,6.50,82.00,533.00
ASMARA,RE/2324/0085,SPL-040325,06-10-2023,10-12-2023,USD,4.60,PCS,2457,,2457,11302.20,82.00,926780.40
ASMARA,RE/2324/0086,SPL-040328,06-10-2023,10-12-2023,USD,3.20,PCS,3729,,3729,11932.80,82.00,978489.60
ASMARA,RE/2324/0087,SPL-040328,06-10-2023,10-12-2023,USD,3.20,PCS,3125,,3125,10000.00,82.00,820000.00
ASMARA,RE/2324/0088,SPL-040325,06-10-2023,10-12-2023,USD,4.60,PCS,3020,,3020,13892.00,82.00,1139144.00
ASMARA,RE/2324/0090,SPL-040429,09-10-2023,21-12-2023,USD,2.50,PCS,20836,20650,186,465.00,83.00,38595.00
ASMARA,RE/2324/0091,SPL-040284,09-10-2023,21-12-2023,USD,2.20,PCS,19996,11027,8969,19731.80,83.00,1637739.40
ASMARA,RE/2324/0099,TBC,19-10-2023,30-12-2023,USD,3.65,PCS,31000,,31000,113150.00,82.00,9278300.00
ASMARA,RE/2324/0118,TBC,25-10-2023,01-01-2024,USD,5.50,PCS,5500,,5500,30250.00,82.00,2480500.00
ASMARA,RE/2324/0128,TBC,15-11-2023,25-01-2024,USD,2.65,PCS,5800,,5800,15370.00,83.00,1275710.00
ASMARA,RE/2324/0135,14051311,21-11-2023,25-01-2024,EUR,3.04,PCS,1349,,1349,3987.50,90.90,362463.75
ASMARA,RE/2324/0136,14051313,21-11-2023,25-01-2024,EUR,5.00,PCS,61,,61,305.00,90.98,27748.90
ASMARA,RE/2324/0137,14051314,21-11-2023,25-01-2024,USD,6.00,PCS,122,,122,732.00,90.98,66597.36
ASMARA,RE/2324/0144,SPL-041464,18-12-2023,09-02-2024,USD,2.20,PCS,43710,,43710,96162.00,83.00,7981446.00
ASMARA,RE/2324/0151,17263-1405-1311,22-12-2023,22-12-2023,EUR,2.90,PCS,600,,600,1740.00,93.00,161820.00
ASMARA,RE/2324/0152,TBC,22-12-2023,25-03-2024,USD,2.60,PCS,32500,,32500,84500.00,83.00,7013500.00
ASMARA,RE/2324/0153,4500213822,25-12-2023,18-03-2024,USD,2.60,PCS,1570,,1570,4082.00,83.00,338806.00
BODY N SOU,RE/2324/0040,807,05-08-2023,20-11-2023,USD,3.41,PCS,8620,,8620,29357.50,82.00,2407315.00
BODY N SOU,RE/2324/0103,1145,19-10-2023,25-11-2023,USD,11.20,PCS,1400,,1400,15697.00,82.00,1287154.00
FROCO,RE/2324/0108,FROCO-14,20-10-2023,15-12-2023,INR,511.70,PCS,1000,,1000,511700.00,1.00,511700.00
FROCO,RE/2324/0109,FROCO - 14,20-10-2023,15-12-2023,INR,528.90,PCS,600,,600,317340.00,1.00,317340.00
FROCO,RE/2324/0110,FROCO-14,20-10-2023,15-12-2023,INR,528.90,PCS,800,,800,423120.00,1.00,423120.00
FROCO,RE/2324/0111,FROCO-14,20-10-2023,15-12-2023,INR,365.50,PCS,1000,,1000,365500.00,1.00,365500.00
FROCO,RE/2324/0112,FROCO-14,20-10-2023,15-12-2023,INR,645.00,PCS,800,,800,516000.00,1.00,516000.00
FROCO,RE/2324/0113,FROCO-14,20-10-2023,15-12-2023,INR,404.20,PCS,1200,,1200,485040.00,1.00,485040.00
FROCO,RE/2324/0115,FROCO - 14,24-10-2023,15-12-2023,INR,430.00,PCS,200,,200,86000.00,1.00,86000.00
FROCO,RE/2324/0116,FROCO-14,24-10-2023,15-12-2023,INR,516.00,PCS,300,,300,154800.00,1.00,154800.00
FROCO,RE/2324/0117,FROCO - 14,24-10-2023,15-12-2023,INR,430.00,PCS,200,,200,86000.00,1.00,86000.00
FROCO,RE/2324/0142,TBC,09-12-2023,30-12-2023,INR,829.90,PCS,200,,200,165980.00,1.00,165980.00
FROCO,RE/2324/0143,TBC,09-12-2023,30-12-2023,INR,829.90,PCS,200,,200,165980.00,1.00,165980.00
INDIAN OIL,RE/2324/0140,TBC,01-12-2023,08-01-2024,INR,225.00,PCS,10535,,10535,2370375.00,1.00,2370375.00
INDIAN OIL,RE/2324/0156,TBC,01-01-2024,25-02-2024,INR,225.00,PCS,10000,,10000,2250000.00,1.00,2250000.00
NEXT,RE/2324/0035,TBC,18-07-2023,15-09-2023,USD,3.80,PCS,3501,3154,347,1352.57,82.00,110910.74
NEXT,RE/2324/0036,TBC,18-07-2023,15-10-2023,USD,4.17,PCS,3001,2915,86,423.65,82.00,34739.30
NEXT,RE/2324/0074,TBC,22-09-2023,30-11-2023,USD,4.28,PCS,5000,,5000,20659.15,83.00,1714709.45
NEXT,RE/2324/0084,TBC,29-09-2023,15-12-2023,USD,3.00,PCS,2000,,2000,6000.00,83.00,498000.00
NEXT,RE/2324/0092,TBC,11-10-2023,11-10-2023,USD,4.17,PCS,9932,,9932,41411.35,83.00,3437142.05
NEXT,RE/2324/0114,TBC,24-10-2023,24-10-2023,USD,4.13,PCS,2948,,2948,12309.25,83.00,1021667.75
NEXT,RE/2324/0124,U72893/894,05-11-2023,05-11-2023,USD,3.00,PCS,14577,,14577,43731.00,83.00,3629673.00
NEXT,RE/2324/0129,575195,17-11-2023,30-01-2024,USD,3.89,PCS,1499,,1499,6040.75,83.00,501382.25
NEXT,RE/2324/0130,595288,17-11-2023,30-01-2024,USD,4.17,PCS,5499,,5499,23096.80,83.00,1917034.40
NEXT,RE/2324/0131,N13167,17-11-2023,30-01-2024,USD,4.17,PCS,5500,,5500,23043.35,83.00,1912598.05
NEXT,RE/2324/0138,D36563,24-11-2023,30-01-2024,USD,4.68,PCS,5401,,5401,24762.30,83.00,2055270.90
TAO,RE/2324/0034,TBC,12-07-2023,03-12-2023,EUR,3.20,PCS,5200,5180,20,64.00,88.00,5632.00
TAO,RE/2324/0055,TBC,25-08-2023,25-10-2023,EUR,1.40,PCS,5801,,5801,8121.40,88.00,714683.20
TAO,RE/2324/0060,TBC,06-09-2023,30-11-2023,EUR,4.90,PCS,1100,,1100,5390.00,88.00,474320.00
TAO,RE/2324/0079,TBC,25-09-2023,12-02-2024,EUR,3.30,PCS,1000,,1000,3300.00,88.00,290400.00
TAO,RE/2324/0081,TBC,25-09-2023,25-12-2023,EUR,2.15,PCS,2501,2488,13,27.95,88.00,2459.60
TAO,RE/2324/0082,TBC,25-09-2023,01-02-2024,EUR,2.45,PCS,3002,,3002,7354.90,88.00,647231.20
TAO,RE/2324/0093,TBC,12-10-2023,12-02-2024,EUR,1.52,PCS,7000,,7000,10640.00,88.00,936320.00
TAO,RE/2324/0094,TBC,12-10-2023,12-02-2024,EUR,1.25,PCS,6000,,6000,7500.00,87.00,652500.00
TAO,RE/2324/0095,TBC,12-10-2023,22-01-2024,EUR,1.50,PCS,2000,,2000,3000.00,87.00,261000.00
TAO,RE/2324/0096,TBC,12-10-2023,19-02-2024,EUR,1.30,PCS,18017,,18017,23422.10,87.00,2037722.70
TAO,RE/2324/0097,TBC,12-10-2023,26-01-2024,EUR,1.30,PCS,5000,,5000,6500.00,87.00,565500.00
TAO,RE/2324/0098,TBC,12-10-2023,26-01-2024,EUR,1.30,PCS,4801,,4801,6241.30,87.00,542993.10
TAO,RE/2324/0104,TBC,19-10-2023,13-01-2024,EUR,1.65,PCS,6202,,6202,10233.30,88.00,900530.40
TAO,RE/2324/0105,TBC,19-10-2023,13-01-2024,EUR,1.20,PCS,4501,,4501,5401.20,88.00,475305.60
TAO,RE/2324/0106,TBC,19-10-2023,13-01-2024,EUR,1.80,PCS,6902,,6902,12423.60,88.00,1093276.80
TAO,RE/2324/0107,TBC,19-10-2023,13-01-2024,EUR,1.90,PCS,6603,,6603,12545.70,88.00,1104021.60
TAO,RE/2324/0125,1018480,09-11-2023,25-01-2024,EUR,1.43,PCS,3800,,3800,5434.00,88.00,478192.00
TAO,RE/2324/0126,TBC,10-11-2023,01-02-2024,EUR,1.42,PCS,5902,,5902,8380.84,88.00,737513.92
TAO,RE/2324/0139,1018604,25-11-2023,17-02-2024,EUR,2.70,PCS,550,,550,1485.00,88.00,130680.00
TAO,RE/2324/0141,1019179,09-12-2023,28-01-2024,EUR,1.80,PCS,5799,,5799,10438.20,88.00,918561.60
TAO,RE/2324/0154,TBC,29-12-2023,20-03-2024,EUR,1.80,PCS,4000,,4000,7200.00,91.00,655200.00
TAO,RE/2324/0155,TBC,29-12-2023,20-03-2024,EUR,2.40,PCS,3303,,3303,7927.20,89.00,705520.80
TAO,RE/2324/0157,1020514,19-01-2024,29-03-2024,EUR,1.95,PCS,5401,,5401,10531.95,89.00,937343.55
TAO,RE/2324/0158,1019546,19-01-2024,02-02-2024,EUR,2.40,PCS,1501,,1501,3602.40,89.00,320613.60
